note,source,publication_stage,type,abbrev_source_title,language,issn,publisher,correspondence_address,author_keywords,abstract,affiliations,url,doi,pages,number,volume,journal,year,title,author,ENTRYTYPE,ID,keywords,pmid,coden,isbn,database,title_norm,da,oa,unique-id,usage-count-since-2013,usage-count-last-180-days,times-cited,number-of-cited-references,cited-references,orcid-numbers,researcherid-numbers,author-email,web-of-science-categories,research-areas,keywords-plus,eissn,earlyaccessdate,affiliation,address,month,funding-text,funding-acknowledgement,article-number,esi-hot-paper,esi-highly-cited-paper,year_clean
Cited by: 13; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,Final,Article,Int. J. Edu. Math. Sci. Tech.,English,,Ismail Sahin,,Bibliometric analysis; Engineering design process STEM education; K-12; VOSviewer,"The study performed a bibliometric analysis on research literature related to 'engineering design process' (EDP) that has emerged as a popular approach for STEM education in K-12. The literature comprised 142 journal articles published from 2011 to 2021. There are three objectives of the study. Firstly, to identify the leading research trends of EDP for STEM education that have developed since the release of A Framework for K-12 Science Education in 2011. This framework is pivotal as it paved the way for the establishment of the Next Generation Science Standards in the United States. Secondly, to discern possible research issues on the aforesaid topic by analyzing the research trends. Lastly, to identify publications and authors that have generated prominent citation impact. Since EDP is an emergent approach for STEM education, fulfilling these three objectives can be conducive in facilitating future researchers to build upon the past foundation of research. In this study, the bibliometric data was identified and exported from Web of Science Core Collection: a database with rich scientific literature. The results identified major research trends and issues on EDP pertaining to professional development, design thinking and computational thinking, STEM competencies, scientific inquiry, and gender gaps in STEM education. Â© 2023 International Journal of Education in Mathematics, Science and Technology. All rights reserved.","The University of Hong Kong, Hong Kong, Hong Kong",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161272230&doi=10.46328%2Fijemst.2794&partnerID=40&md5=4ca135854e140475f0aebfd8cc4682a0,10.46328/ijemst.2794,695 - 727,3,11,"International Journal of Education in Mathematics, Science and Technology",2023,Research Trends and Issues of Engineering Design Process for STEM Education in K-12: A Bibliometric Analysis,"Ali, Muhammad and Tse, Alexwing Cheung",article,Ali2023695,,,,,Scopus,research trends and issues of engineering design process for stem education in k12 a bibliometric analysis,,,,,,,,,,,,,,,,,,,,,,,,,2023
Cited by: 34; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access,Scopus,Final,Article,Eurasia J. Math. Sci. Technol. Educ.,English,13058215,Modestum LTD,"A.A. Chistyakov; Department of Law, National Research University of Electronic Technology (MIET), Moscow, Russian Federation; email: zhdanov120009@yandex.ru",critical thinking; learning outcomes; project based learning; science education; STEAM education,"The purpose of this article is to determine project-based learning (PjBL) from the characteristics, effectiveness and implementation aspects of science and science, technology, engineering, art and mathematics (STEAM) education. Eric database was used in order to investigate key words. Thus, this mini review reviewed 36 articles on PjBL for science and STEAM education based on the available Eric database reference. The data obtained were analyzed using content analysis methods. The results showed that on average PjBL can be categorized as a learning model that can improve student learning outcomes in science learning and train students in problem solving (critical thinking). The review reveals that PjBL has an influence on student learning, especially in science and STEAM education. From this article, it can be concluded and can be recommended three recommendations related to the essential success of PjBL in schools. Â© 2023 by the authors; licensee Modestum.","National Research University of Electronic Technology (MIET), Department of Law, Moscow, Russian Federation; Plekhanov Russian University of Economics, Department of Civil Law Disciplines, Moscow, Russian Federation; Financial University under the Government of the Russian Federation, Department of English Language for Professional Communication, Moscow, Russian Federation; Southern Federal University, Department of Education and Pedagogical Sciences, Rostov-on-Don, Rostov Oblast, Russian Federation; RUDN University, Department of Foreign Languages, Moscow, Moscow Oblast, Russian Federation; Sechenov First Moscow State Medical University, Department of Organization of Medical Provision and Pharmacoeconomics, Moscow, Russian Federation",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153765245&doi=10.29333%2FEJMSTE%2F13128&partnerID=40&md5=55f1beb4b90c73ff11327e004aad5537,10.29333/EJMSTE/13128,,5,19,"Eurasia Journal of Mathematics, Science and Technology Education",2023,Exploring the characteristics and effectiveness of project-based learning for science and STEAM education,"Chistyakov, Alexey A. and Zhdanov, Sergei P. and Avdeeva, Elena L. and Dyadichenko, Elena A. and Kunitsyna, Maria L. and Yagudina, R. I.",article,Chistyakov2023,,,,,Scopus,exploring the characteristics and effectiveness of projectbased learning for science and steam education,,,,,,,,,,,,,,,,,,,,,,,,,2023
Cited by: 5; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access,Scopus,Final,Article,J. Pedag. Res.,English,,"Duzce University, Faculty of Education","S. Uzun; UÅŸak University, Faculty of Education, UÅŸak, Turkey; email: salih.uzun@usak.edu.tr",Design; Electrical energy; Middle school; Motivation; Science education; STEM,"The goal of STEM education is to integrate the disciplines of science, technology, engineering, and mathematics in a way that facilitates holistic learning. Students are also supported in developing creative solutions to problems using the STEM approach. Other STEM fields are often linked through engineering and engineering design. Throughout this study, students participated in engineering design-oriented activities that connected STEM disciplines. This study aims to reveal the effect of a learning environment based on the STEM approach in science education on students' academic achievement and motivation. This study used a quasi-experimental, non-equivalent pretest-posttest control group design. Seventh-graders who attended a public middle school in the Aegean Region of TÃ¼rkiye participated in the study. The research findings showed a significant difference in science achievement between the control group in the curriculum-based learning environment and the experimental group in the STEM-based learning environment. It was found, however, that motivation toward science was not significantly different. The results indicated that the STEM-based learning environment positively affected science achievement. Â© 2023, Pharmaceutical Association of Serbia. All rights reserved.","Usak University, Faculty of Education, Usak, Turkey; Ministry of National Education, Konya, Konya, Turkey",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153225374&doi=10.33902%2FJPR.202319315&partnerID=40&md5=35446454eea7f08d75d3c0561022c7df,10.33902/JPR.202319315,228 - 242,1,7,Journal of Pedagogical Research,2023,The effects of a STEM-based intervention on middle school students' science achievement and learning motivation,"Uzun, Salih and Åžen, Nihat",article,Uzun2023228,academic achievement; article; controlled study; curriculum; education; human; human experiment; learning; learning environment; middle school student; motivation; pretest posttest design,,,,Scopus,the effects of a stembased intervention on middle school students science achievement and learning motivation,,,,,,,,,,,,,,,,,,,,,,,,,2023
Cited by: 5; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ,Scopus,Final,Article,Int. J. Sci. Educ.,English,09500693,Routledge,"S. GonzÃ¡lez-VÃ­llora; Department of Physical Education, Arts Education, and Music, Faculty of Education, University of Castilla-La Mancha, Albacete, Spain; email: Sixto.Gonzalez@uclm.es",science education; Scientific literacy; scientific methodology,"Science is part of the educational curricula, and its teaching is the responsibility of teachers. Since 2000, scholars from The Organisation for Economic Co-operation (OECD) countries have been tested in science by the Programme for International Student Assessment (PISA), despite the diversity in national higher education systems. This requires a global perspective on teaching methods and the scientific competencies of teachers. This systematic review addresses scientific knowledge among educators and the strategies for improving this knowledge in higher education. The twenty-five articles were evaluated following PRISMA guidelines. Five large databases (WOS, Scopus, Proquest, EbscoHost and PubSyc) were searched systematically using the main concept of scientific literacy in the target group: teachers, pre-service teachers, and educators involved in science education. Google Scholar was also examined to avoid publication bias. The procedure was guided by the CADIMA Software to ensure transparency and accuracy. The findings indicate medium or low levels in scientific literacy (SL) and low scores in the nature of science (NOS) among the sample. Explicit instruction, such as inquiry-based, solving-problem, and modelling approaches, could enhance the teaching and learning of science by improving the depth of knowledge current and future teachers transfer to their pupils. Â© 2023 Informa UK Limited, trading as Taylor & Francis Group.","Universidad de Castilla-La Mancha, Department of Psychology, Ciudad Real, Castile-La Mancha, Spain; Universidad de Castilla-La Mancha, Department of Physical Education, Ciudad Real, Castile-La Mancha, Spain; Universidad de Castilla-La Mancha, Department of Physical Education, Ciudad Real, Castile-La Mancha, Spain",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152083913&doi=10.1080%2F09500693.2023.2190851&partnerID=40&md5=bee1a748dde2882dfe9d1cc929f1b18c,10.1080/09500693.2023.2190851,1182 - 1213,14,45,International Journal of Science Education,2023,Teachers and pre-service teachersâ€™ scientific competencies: a methodological development for a systematic review,"Torrijos-Muelas, Marta and GonzÃ¡lez-VÃ­llora, Sixto and Osma, Ana Rosa Bodoque and Guijarro, Eva",article,Torrijos-Muelas20231182,,,,,Scopus,teachers and preservice teachersâ scientific competencies a methodological development for a systematic review,,,,,,,,,,,,,,,,,,,,,,,,,2023
Cited by: 5; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ,Scopus,Final,Article,Educ. Action Res.,English,09650792,Routledge,"R.D. Sagun; Basic Education, Ateneo de Manila University, Quezon City, Philippines; email: rsagun@ateneo.edu",learning environment; Metacognition; metacognitive-oriented environment; PDSA action research model; science education,"The learning environment plays a crucial role in the promotion of school science. Redesigning the science classroom into a metacognitive learning environment is imperative in developing studentsâ€™ 21st century skillsâ€“communication, collaboration, critical thinking and creative thinking. In this study, we exposed the students to a variety of metacognitive activitiesâ€“allowing them to plan, reflect, and evaluate their thinking skills and strategies. We intended to investigate the effectiveness of integrating metacognitive-enhanced and self-regulated learning strategies in understanding molecular genetics. We also explored and interpolated the roles of self-efficacy and metacognition in relation to their impact on Filipino studentsâ€™ scientific reasoning skills and conceptual understanding in the context of a Philippine science classroom. To establish a more comprehensive perspective, we applied the Plan-Do-Study-Act (PDSA) action research model, utilizing both quantitative and qualitative methods to find answers to the research problems. The results of the study highlighted the interconnectedness and interplay of science self-efficacy, metacognitive awareness, metacognitive-orientation of the classroom, and the scientific conceptual understanding of the students. These are crucial constructs in creating and maintaining a metacognitive orientation of the science classroom. The study also shows that science self-efficacy has a vital role in predicting the academic achievement of students. Â© 2021 Educational Action Research.","Ateneo de Manila University, Basic Education Unit, Quezon City, Philippines; De La Salle University, Science Education Department, Manila, Philippines",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150050164&doi=10.1080%2F09650792.2021.1894964&partnerID=40&md5=22dfb06e73b27187044c16b8abe716bf,10.1080/09650792.2021.1894964,61 - 77,1,31,Educational Action Research,2023,Applying the plan-do-study-act (PDSA) action research model to re-structure the science classroom conforming to the metacognitive orientation standards,"Sagun, Richard Deanne and Prudente, Maricar Sison",article,Sagun202361,,,,,Scopus,applying the plandostudyact pdsa action research model to restructure the science classroom conforming to the metacognitive orientation standards,,,,,,,,,,,,,,,,,,,,,,,,,2023
Cited by: 8; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Hybrid Gold Open Access,Scopus,Final,Article,Int. J. Sci. Educ.,English,09500693,Routledge,"S. Ochsen; Department of Chemistry Education, Leibniz Institute for Science and Mathematics Education (IPN), Kiel, Germany; email: ochsen@leibniz-ipn.de",formative assessment; interest development; Situational interest,"Studentsâ€™ interest is considered an important learning outcome, but it is also a relevant predictor for student learning, and future vocational choices. According to numerous studies, however, studentsâ€™ interest in STEM fields usually declines during the course of secondary education. From the perspective of science education, it is therefore necessary to foster or at least maintain studentsâ€™ interest. Despite the variety of approaches that have already been examined in order to promote student interest, the problem of low-interested students remains. Prior findings indicate that specific person characteristics and the studentsâ€™ perception of the situation seem to be moderate the effectiveness of many approaches. The current intensive repeated measure intervention study addresses the investigation of a possible interest trigger (formative assessment) and also the process that influences the perception of this trigger. Based on a sample of 9th-grade chemistry students (N = 200), three different interventions of formative assessment were implemented in regular classrooms. Studentsâ€™ situational interest was assessed repeatedly in short time intervals. Based on multilevel analyses, not all interventions were perceived as equally interesting by the students. While studentsâ€™ individual interest influences the perception of all interventions positively, the impact of gender, chemistry grade, and enjoyment varies across the interventions. Â© 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Leibniz Institute for Science and Mathematics Education, Department of Chemistry Education, Kiel, Schleswig-Holstein, Germany; Leibniz Institute for Science and Mathematics Education, Department of Educational Measurement, Kiel, Schleswig-Holstein, Germany",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147435729&doi=10.1080%2F09500693.2022.2163204&partnerID=40&md5=c60698013ef84c821bd89767f633a92a,10.1080/09500693.2022.2163204,383 - 404,5,45,International Journal of Science Education,2023,Interestingness is in the eye of the beholderâ€“the impact of formative assessment on studentsâ€™ situational interest in chemistry classrooms,"Ochsen, Sabrina and Bernholt, Andrea and Grund, Simon and Bernholt, Sascha",article,Ochsen2023383,,,,,Scopus,interestingness is in the eye of the beholderâthe impact of formative assessment on studentsâ situational interest in chemistry classrooms,,,,,,,,,,,,,,,,,,,,,,,,,2023
Cited by: 47; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,Final,Review,Stud. Sci. Educ.,English,03057267,Routledge,"M. Arztmann; Department of Education, Utrecht University, Utrecht, Netherlands; email: m.arztmann@uu.nl",diversity; game-based learning; Meta-analysis; motivation; STEM education,"Game-based learning has proven to be effective and is widely used in science education, but usually the heterogeneity of the student population is being overlooked. To examine the differential effects of game interventions in STEM (Science, Technology, Engineering and Mathematics) related subjects on diverse student groups, a meta-analysis has been conducted that included 39 studies that compared game-based learning interventions with traditional classrooms in primary and early secondary education. We found moderate positive effects on cognition (gÂ =Â .67), motivation (gÂ =Â .51), and behaviour (gÂ =Â .93). Additionally, substantial heterogeneity between studies was found. Moderator analyses indicated that primary school students achieve higher learning outcomes and experience game interventions as more motivating than secondary school students, whereas gender did not have any moderating effect. There were too few studies reporting information on the remaining moderators (socioeconomic status, migration background, and special educational needs) to include them in a multiple meta-regression model. Therefore, we assessed their role by separate moderator analyses, but these results need to be interpreted with caution. Additional descriptive analyses suggested that game-based learning may be less beneficial for students with low socioeconomic status compared to students with high socioeconomic status. Â© 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Universiteit Utrecht, Department of Education, Utrecht, Netherlands; Universiteit Utrecht, Department of Computer and Information Science, Utrecht, Netherlands",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127580998&doi=10.1080%2F03057267.2022.2057732&partnerID=40&md5=37f6a4add6cc839bacd47000bd3a6b96,10.1080/03057267.2022.2057732,109 - 145,1,59,Studies in Science Education,2023,Effects of games in STEM education: a meta-analysis on the moderating role of student background characteristics,"Arztmann, Michaela and Hornstra, Lisette and Jeuring, Johan T. and Kester, Liesbeth",article,Arztmann2023109,,,,,Scopus,effects of games in stem education a metaanalysis on the moderating role of student background characteristics,,,,,,,,,,,,,,,,,,,,,,,,,2023
Cited by: 9; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ,Scopus,Final,Article,Res. Sci. Technol. Educ.,English,02635143,Routledge,"E.S. UrvÃ¡lkovÃ¡; Department of Teaching and Didactics of Chemistry, Charles University, Prague, Czech Republic; email: urvalkov@natur.cuni.cz",companies; competence framework; expert survey; Scientific thinking and reasoning,"Background: The competencies for the 21st century are defined as a broad and interrelated system of knowledge, skills, values and attitudes enabling the full application of man in personal and professional life. Regarding the science education competencies combining science and scientific knowledge, as well as skills such as inquiry, critical thinking, analytical thinking, problem solving and decision making should be developed. These higher-order abilities are reflected in the concept of scientific thinking and reasoning that has no specific definition yet, although many employers expect these abilities at their job applicants. Purpose: The purpose of this study is to create a framework of scientific thinking and reasoning for knowledge-based companies operating in natural sciences that would meet the needs of these companies. Sample: Theoretical research is based on analysis, comparison and synthesis of five relevant scientific and reasoning frameworks from years 1997â€“2014. Empirical research was an expert survey conducted with seven participants, experts working on key positions inside companies, followed by two interviews with experts outside the companies. Design and methods: During the first part of the study a prototype of a scientific thinking and reasoning framework based on the methods of theoretical research was developed. Following empirical part (expert survey) aimed at adjusting the framework based on semi-structured interviews to employees in key positions of companies whose production portfolio or services are based on the knowledge and skills of their employees in natural science disciplines. Results: Qualitative analysis of interviews showed that the proposed framework seems as a useful tool for companies that can easier identify the skills and abilities for their employees. Conclusion: The framework has been slightly changed according to results of the analysis and can be used as a supporting tool bridging the gap between those who prepare students for a specific graduate job and the companies that employ graduates. Â© 2021 Informa UK Limited, trading as Taylor & Francis Group.","Charles University, Department of Teaching and Didactics of Chemistry, Prague, Czech Republic; Charles University, Department of Didactics of Physics, Prague, Czech Republic",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106251987&doi=10.1080%2F02635143.2021.1928048&partnerID=40&md5=9dcb16fa52f2996493d64e002973ea42,10.1080/02635143.2021.1928048,653 - 674,2,41,Research in Science and Technological Education,2023,The scientific thinking and reasoning framework and its applicability to manufacturing and services firms in natural sciences,"JanouÅ¡kovÃ¡, Svatava and PyskatÃ¡ RathouskÃ¡, LubomÃ­ra and Å½Ã¡k, VojtÄ›ch and StratilovÃ¡ UrvÃ¡lkovÃ¡, Eva",article,JanouÅ¡kovÃ¡2023653,,,,,Scopus,the scientific thinking and reasoning framework and its applicability to manufacturing and services firms in natural sciences,,,,,,,,,,,,,,,,,,,,,,,,,2023
Cited by: 14; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,Final,Article,Evol. Edu. Outreach,English,19366426,BioMed Central Ltd,"K. Kampourakis; Section of Biology and IUFE, University of Geneva, Geneva, Switzerland; email: Kostas.Kampourakis@unige.ch",Evolution education; Evolution literacy; Evolutionary literacy; Science literacy; Scientific literacy,"In this paper, I argue that for both theoretical and practical purposes, it is useful for science education to clearly distinguish between science content knowledge and skills on the one hand, and the competencies related to their application in everyday life. This can be based on a distinction made by Douglas Roberts between two visions of literacy, and it can be effectively reconceptualized as the distinction between two types of literacy relevant to science: Science literacy, which is literacy relevant to the processes and products of science, related to the content of science taught in classrooms (literacy about issues within science); and Scientific literacy, which is literacy relevant to questions that students may encounter as citizens and to the socio-ethical implications of scientific knowledge (literacy about the implications of science for society). Based on this, we can in turn distinguish between two types of literacy related to evolution: Evolution literacy, which is literacy relevant to the evolution content taught in classrooms; and Evolutionary literacy, which is literacy relevant to questions that students may encounter as citizens and to the socio-ethical implications of scientific knowledge. In this article I argue that whereas a lot of attention has been given to evolution literacy as a learning goal, there has been less reflection and discussion about evolutionary literacyâ€”and it is exactly the distinction between these two types of literacy that helps one realize this. Teaching for evolutionary literacy requires specific skills from teachers, which go beyond their ability to teach concepts and explanations. My aim is to initiate a discussion about how to set evolutionary literacy as a learning objective at schools along evolution literacy. A key issue in such a case is how we could prepare teachers who would be capable, and confident, to address issues going beyond the typical science content, and which are often related to worldviews, in the classroom. Â© 2022, The Author(s).","UniversitÃ© de GenÃ¨ve, Section of Biology and IUFE, Geneva, Switzerland",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144271338&doi=10.1186%2Fs12052-022-00180-4&partnerID=40&md5=ddf0a8cc6517775122a03703139f3244,10.1186/s12052-022-00180-4,,1,15,Evolution: Education and Outreach,2022,Reconsidering the goals of evolution education: defining evolution and evolutionary literacy,"Kampourakis, Kostas",article,Kampourakis2022,,,,,Scopus,reconsidering the goals of evolution education defining evolution and evolutionary literacy,,,,,,,,,,,,,,,,,,,,,,,,,2022
Cited by: 13; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,Final,Article,J. Microbiol. Biol. Educ.,English,19357877,American Society for Microbiology,"L. Brancaccio-Taras; Department of Biological Sciences, Center for E-Learning, Kingsborough Community College, Brooklyn, United States; email: lorettabt03@gmail.com",assessment; diversity; equity; inclusion; PULSE; STEM education; Vision and Change,"In an attempt to redesign science, technology, engineering, and mathematics (STEM) departments to be more inclusive of all student populations, institutions of higher learning are reviewing their programs, policies, and the ways they engage students. The Partnership for Undergraduate Life Sciences Education (PULSE) has been working with STEM departments over the past 10 years to improve the student experience by incorporating evidence-based teaching practices and creating curricula with a deeper focus on conceptual understanding of scientific principles, competencies, and the process of science. PULSE created the PULSE rubrics, a set of five rubrics designed to assist life sciences departments in assessing their implementation of the recommendations of the American Association for the Advancement of Science Vision and Change report in the areas of curriculum, assessment, faculty practice and faculty support, infrastructure, and climate for change. An additional rubric, on diversity, equity, and inclusion (DEI), is described in this paper. Each of the 13 criteria of the PULSE DEI rubric begins with a context section of background information with references and a scale of 0 to 4 (baseline to exemplar) with descriptors for each score. The PULSE DEI rubric has been added to allow departments to determine the starting point for their DEI work and reveal areas that require attention. All PULSE rubrics can be accessed from the PULSE Community website (https://www.pulse-community.org/rubrics). Â© Â© 2022 Brancaccio-Taras et al.","Kingsborough Community College, Department of Biological Sciences, New York, NY, United States; Georgia Gwinnett College, Department of Biology, Lawrenceville, GA, United States; Division of Biology and Medicine, Providence, RI, United States; Doane University, Department of Biology, Crete, NE, United States; Lewis & Clark College, Portland, Portland, OR, United States; University of Houston-Downtown, College of Science and Technology, Houston, TX, United States",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144176033&doi=10.1128%2Fjmbe.00057-22&partnerID=40&md5=73e7edc50c1d9930edf6d13864d62af9,10.1128/jmbe.00057-22,,3,23,Journal of Microbiology and Biology Education,2022,The PULSE Diversity Equity and Inclusion (DEI) Rubric: a Tool to Help Assess Departmental DEI Efforts,"Brancaccio-Taras, Loretta and Awong-Taylor, Judy and Linden, Monica L. and Marley, Kate E. and Reiness, C. Gary and Uzman, J. Akif",article,Brancaccio-Taras2022,,,,,Scopus,the pulse diversity equity and inclusion dei rubric a tool to help assess departmental dei efforts,,,,,,,,,,,,,,,,,,,,,,,,,2022
Cited by: 16; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,Final,Article,Int. J. STEM Educ.,English,,Springer Science and Business Media Deutschland GmbH,"E. Wiebe; Department of STEM Education, North Carolina State University, Raleigh, United States; email: wiebe@ncsu.edu",Science education; Survey; Teacher responsibility; Teacher self-efficacy; Teaching; Validation,"Background: The Science Teaching Efficacy Belief Instrument A (STEBI-A; Riggs & Enochs, 1990 in Science Education, 74(6), 625-637) has been the dominant measurement tool of in-service science teacher self-efficacy and outcome expectancy for nearly 30Â years. However, concerns about certain aspects of the STEBI-A have arisen, including the wording, validity, reliability, and dimensionality. In the present study, we revised the STEBI-A by addressing many concerns research has identified, and developed a new instrument called the T-STEM Science Scale. The T-STEM Science Scale was reviewed by expert panels and piloted first before it was administered to 727 elementary and secondary science teachers. The combination of classical test theory (CTT) and item response theory (IRT) approaches were used to validate the instrument. Multidimensional Rasch analysis and confirmatory factor analysis were run. Results: Based on the results, the negatively worded items were found to be problematic and thus removed from the instrument. We also found that the three-dimensional model fit our data the best, in line with our theoretical conceptualization. Based on the literature review and analysis, although the personal science teaching efficacy beliefs (PTSEB) construct remained intact, the original outcome expectancy construct was renamed science teacher responsibility for learning outcomes beliefs (STRLOB) and was divided into two dimensions, above- and below-average student interest or performance. The T-STEM Science Scale had satisfactory reliability values as well. Conclusions: Through the development and validation of the T-STEM Science Scale, we have addressed some critical concerns emergent from prior research concerning the STEBI-A. Psychometrically, the refinement of the wording, item removal, and the separation into three constructs have resulted in better reliability values compared to STEBI-A. While two distinct theoretical foundations are now used to explain the constructs of the new T-STEM instrument, prior literature and our empirical results note the important interrelationship of these constructs. The preservation of these constructs preserves a bridge, though imperfect, to the large body of legacy research using the STEBI-A. Â© 2022, The Author(s).","California State University, Monterey Bay, Department of Mathematics and Statistics, Marina, CA, United States; SRI International, Center for Education Research and Innovation, Menlo Park, CA, United States; NC State University, The Science House, Raleigh, NC, United States; NC State University, Department of STEM Education, Raleigh, NC, United States",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126260367&doi=10.1186%2Fs40594-022-00339-x&partnerID=40&md5=4db4d20f6d17fa5f4c590676885bd6e2,10.1186/s40594-022-00339-x,,1,9,International Journal of STEM Education,2022,An alternative to STEBI-A: validation of the T-STEM science scale,"Unfried, Alana and Rachmatullah, A. and Alexander, Alonzo B. and Wiebe, Eric N.",article,Unfried2022,,,,,Scopus,an alternative to stebia validation of the tstem science scale,,,,,,,,,,,,,,,,,,,,,,,,,2022
Cited by: 2; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access,Scopus,Final,Article,J. Curric. Teach.,English,19272677,Sciedu Press,"W. Widodo; Universitas Negeri Surabaya, Surabaya, Indonesia; email: wahonowidodo@unesa.ac.id",BRADeR learning model; construct validity; content validity; science literacy skill,"The results of the preliminary study show that the scientific literacy ability in 4 SMP Negeri Pematangsiantar is still relatively low. Since science study habits are still traditional and minimize the significance of being able to read science as a competency that students must acquire, there is a tendency for the learning process to not aid students in developing their scientific literacy skills. Due to this, the BRADeR learning model was developed using innovation, taking into account the benefits and drawbacks of the inquiry and SETS models as well as supporting theoretical and empirical research. This study serves to determine the validity of the BRADeR learning model that has been developed. The method of collecting validity data uses the focus group discussion (FGD) method. The validity of the BRADeR learning model was assessed based on content validity and construct validity. The BRADeR learning model was established and is in the very valid category, according to the validity results from experts in the field of science education (IPA). The BRADeR learning paradigm can be used to enhance high school students' science literacy abilities. Â© 2022 by the Author(s).","Universitas HKBP Nommensen, Medan, North Sumatra, Indonesia; Universitas Negeri Surabaya, Surabaya, East Java, Indonesia",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143851990&doi=10.5430%2Fjct.v11n8p311&partnerID=40&md5=0dac7adb7a579c81bf6e8425cd11bd74,10.5430/jct.v11n8p311,311 - 316,8,11,Journal of Curriculum and Teaching,2022,Validity of BRADeR Learning Model Development: An Innovative Learning Model to Improve Science Literacy Skills for Junior High School Students,"Simamora, Aprido B. and Sanjaya, I. Gusti Made and Widodo, Wahono",article,Simamora2022311,,,,,Scopus,validity of brader learning model development an innovative learning model to improve science literacy skills for junior high school students,,,,,,,,,,,,,,,,,,,,,,,,,2022
